Player,Tm,Age,Pos,G_P,GS,Tgt,Rec_P,Ctch%,Yds_P,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,Fmb,G,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
Jeremy Ruckert,NYJ,22,TE,9,0,2.0,1,50.0%,8,0,0,50.0,4.0,0.1,0.9,0.0,12.0,26.0,309.0,11.9,3.0,26.0,309.0,11.9,3.0,Big Ten,Ohio St.,6-5,250.0,4.52,35.5,35.5,True,165.0
Jameson Williams,DET,21,WR,6,0,9.0,1,11.1%,41,1,1,11.1,4.6,0.2,6.8,0.0,15.0,79.0,1572.0,19.9,15.0,82.0,1595.0,19.5,15.0,SEC,Alabama,6-2,179.0,4.52,35.5,35.5,True,12.0
Puka Nacua,LAR,22,WR,17,17,160.0,105,65.6%,1486,6,68,56.9,9.3,6.2,87.4,1.0,8.0,33.333333333333336,527.0,16.166666666666668,4.0,46.333333333333336,646.0,14.966666666666667,5.666666666666667,Ind,BYU,6-2,201.0,4.52,35.5,35.5,True,305.0
Rashee Rice,KAN,23,WR,16,8,102.0,79,77.5%,938,7,44,61.8,9.2,4.9,58.6,2.0,11.0,58.25,777.75,13.725,6.25,58.5,777.75,13.575,6.25,American,SMU,6-1,204.0,4.51,41.0,128.0,True,87.0
Zay Flowers,BAL,23,WR,16,16,108.0,77,71.3%,858,5,41,55.6,7.9,4.8,53.6,0.0,11.666666666666666,59.333333333333336,905.0,15.566666666666668,8.666666666666666,69.33333333333333,955.0,14.1,9.0,ACC,Boston Col.,5-9,182.0,4.42,35.5,127.0,True,22.0
Dalton Kincaid,BUF,24,TE,16,11,91.0,73,80.2%,673,2,29,61.5,7.4,4.6,42.1,1.0,13.0,53.0,700.0,13.45,8.0,53.5,702.0,13.3,8.0,Pac-12,Utah,6-4,246.0,4.52,35.5,35.5,True,25.0
Jordan Addison,MIN,21,WR,17,14,108.0,70,64.8%,911,10,38,50.0,8.4,4.1,53.6,0.0,11.666666666666666,73.0,1044.6666666666667,13.933333333333332,9.666666666666666,79.66666666666667,1093.6666666666667,13.433333333333332,10.0,Pac-12,USC,5-11,173.0,4.49,34.0,122.0,True,23.0
Josh Downs,IND,22,WR,17,9,98.0,68,69.4%,771,2,30,50.0,7.9,4.0,45.4,0.0,12.0,97.5,1182.0,12.05,9.5,97.5,1182.0,12.05,9.5,ACC,North Carolina,5-9,171.0,4.48,38.5,131.0,True,143.0
Jayden Reed,GNB,23,WR,16,13,94.0,64,68.1%,793,8,32,51.1,8.4,4.0,49.6,2.0,11.0,50.75,716.5,13.875,6.5,55.25,729.75,12.950000000000001,6.75,Big Ten,Michigan St.,5-11,187.0,4.45,33.5,121.0,True,82.0
Jaxon Smith-Njigba,SEA,21,WR,17,3,93.0,63,67.7%,628,4,29,47.3,6.8,3.7,36.9,0.0,13.0,95.0,1606.0,16.9,9.0,95.0,1606.0,16.9,9.0,Big Ten,Ohio St.,6-1,196.0,4.52,35.0,125.0,True,20.0
Demario Douglas,NWE,23,WR,14,7,79.0,49,62.0%,561,0,26,45.6,7.1,3.5,40.1,3.0,12.0,54.333333333333336,685.6666666666666,12.466666666666667,5.0,56.666666666666664,722.0,12.5,5.333333333333333,Ind,Liberty,5-8,179.0,4.44,39.5,134.0,False,225.0
Jonathan Mingo,CAR,22,WR,15,14,85.0,43,50.6%,418,0,15,32.9,4.9,2.9,27.9,1.0,11.5,39.0,620.0,15.45,4.0,41.0,616.5,14.75,4.5,SEC,Mississippi,6-2,220.0,4.46,39.5,129.0,True,71.0
Trey Palmer,TAM,22,WR,17,8,68.0,39,57.4%,385,3,17,41.2,5.7,2.3,22.6,3.0,11.5,50.5,693.5,13.1,6.0,54.0,731.0,12.75,6.0,Big Ten,Nebraska,6-0,192.0,4.33,35.5,35.5,True,351.0
Dontayvion Wicks,GNB,22,WR,15,6,58.0,39,67.2%,581,4,29,62.1,10.0,2.6,38.7,3.0,10.0,43.5,816.5,17.700000000000003,5.5,43.5,816.5,17.700000000000003,5.5,ACC,Virginia,6-1,206.0,4.62,39.0,130.0,True,287.0
Quentin Johnston,LAC,22,WR,17,10,67.0,38,56.7%,431,2,20,47.8,6.4,2.2,25.4,0.0,10.666666666666666,38.333333333333336,730.0,19.7,4.666666666666667,41.0,732.6666666666666,18.333333333333332,5.333333333333333,Big 12,TCU,6-3,208.0,4.52,40.5,134.0,True,21.0
Michael Wilson,ARI,23,WR,13,12,58.0,38,65.5%,565,3,29,56.9,9.7,2.9,43.5,0.0,7.333333333333333,33.666666666666664,450.3333333333333,13.933333333333332,3.3333333333333335,35.0,466.0,13.733333333333334,3.3333333333333335,Pac-12,Stanford,6-2,213.0,4.58,37.5,125.0,True,158.0
Michael Mayer,LVR,22,TE,14,12,40.0,27,67.5%,304,2,19,60.0,7.6,1.9,21.7,0.0,12.0,60.0,699.6666666666666,11.533333333333333,6.0,60.0,699.6666666666666,11.533333333333333,6.0,Ind,Notre Dame,6-5,249.0,4.52,32.5,118.0,True,67.0
Jalin Hyatt,NYG,22,WR,17,7,40.0,23,57.5%,373,0,11,47.5,9.3,1.4,21.9,1.0,11.0,43.5,771.5,16.35,8.5,44.5,773.0,15.950000000000001,8.5,SEC,Tennessee,6-0,176.0,4.4,40.0,135.0,True,137.0
Marvin Mims,DEN,21,WR,16,7,33.0,22,66.7%,377,1,9,48.5,11.4,1.4,23.6,2.0,12.333333333333334,41.0,799.3333333333334,19.533333333333335,6.666666666666667,42.666666666666664,811.0,19.099999999999998,6.666666666666667,Big 12,Oklahoma,5-11,183.0,4.38,39.5,129.0,True,95.0
Cedric Tillman,CLE,23,WR,14,3,44.0,21,47.7%,224,0,12,40.9,5.1,1.5,16.0,0.0,9.5,50.5,749.0,14.1,7.5,50.5,749.0,14.1,7.5,SEC,Tennessee,6-3,213.0,4.54,37.0,128.0,True,138.0
Jake Bobo,SEA,25,WR,17,0,25.0,19,76.0%,196,2,9,60.0,7.8,1.1,11.5,0.0,12.0,54.333333333333336,656.3333333333334,12.066666666666668,3.0,54.333333333333336,656.3333333333334,12.066666666666668,3.0,Pac-12,UCLA,6-4,206.0,4.52,35.5,35.5,False,225.0
Tre Tucker,LVR,22,WR,16,1,34.0,19,55.9%,331,2,12,41.2,9.7,1.2,20.7,0.0,13.0,43.0,548.5,12.7,2.5,44.5,558.5,12.5,2.5,American,Cincinnati,5-9,182.0,4.4,37.5,124.0,True,164.0
Will Mallory,IND,24,TE,12,2,26.0,18,69.2%,207,0,11,50.0,8.0,1.5,17.3,1.0,11.666666666666666,31.333333333333332,404.6666666666667,13.133333333333333,3.6666666666666665,31.333333333333332,404.6666666666667,13.133333333333333,3.6666666666666665,ACC,Miami,6-5,239.0,4.52,36.5,121.0,True,290.0
Tyler Scott,CHI,22,WR,17,4,32.0,17,53.1%,168,0,10,43.8,5.3,1.0,9.9,1.0,12.5,42.0,709.5,16.950000000000003,7.0,42.0,709.5,16.950000000000003,7.0,American,Cincinnati,5-10,177.0,4.44,39.5,133.0,True,229.0
