Player,Tm,Age,Tgt,Rec_P,Ctch%,Yds_p,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,G_P,GS,Att,Yds_R_P,TD_R_P,1D_P,Succ%_R,Y/A,Y/G_R,Fmb,G,Att_R,Yds_R,Avg_R,TD_R,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
James Conner,PIT,22,1.0,0,0.0%,0,0,0,0.0,0.0,0.0,0.0,14,0,32,144,0,4,50.0,4.5,10.3,0,12.666666666666666,220.0,1218.6666666666667,5.5,16.666666666666668,9.666666666666666,135.0,13.133333333333333,1.3333333333333333,229.66666666666666,1353.6666666666667,5.866666666666667,18.0,ACC,Pittsburgh,6-1,233.0,4.65,29.0,113.0,True,169.0
Saquon Barkley,NYG,21,121.0,91,75.2%,721,4,30,38.0,6.0,5.7,45.1,16,16,261,1307,11,50,39.8,5.0,81.7,0,12.666666666666666,223.66666666666666,1281.0,5.766666666666667,14.333333333333334,34.0,398.3333333333333,11.4,2.6666666666666665,257.6666666666667,1679.3333333333333,6.466666666666666,17.0,Big Ten,Penn State,6-0,233.0,4.4,41.0,34.5,True,2.0
Nyheim Hines,IND,22,81.0,63,77.8%,425,2,29,46.9,5.2,3.9,26.6,16,4,85,314,2,17,45.9,3.7,19.6,1,13.0,197.0,1112.0,5.6,12.0,26.0,152.0,5.8,0.0,223.0,1264.0,5.7,12.0,ACC,North Carolina State,5-8,198.0,4.38,35.5,119.0,True,200.0
Kerryon Johnson,DET,21,39.0,32,82.1%,213,1,11,53.8,5.5,3.2,21.3,10,7,118,641,3,32,52.5,5.4,64.1,1,12.0,233.5,1143.0,4.9,14.5,20.5,159.5,7.75,1.0,254.0,1302.5,5.1,15.5,SEC,Auburn,5-11,213.0,4.54,40.0,126.0,True,75.0
Nick Chubb,CLE,23,29.0,20,69.0%,149,2,5,41.4,5.1,1.3,9.3,16,9,192,996,8,47,47.9,5.2,62.3,0,11.75,189.5,1192.25,6.55,11.0,7.75,90.25,11.125,1.0,197.25,1282.5,6.725,12.0,SEC,Georgia,5-11,227.0,4.52,38.5,128.0,True,67.0
Jordan Wilkins,IND,24,17.0,16,94.1%,85,0,2,64.7,5.0,1.0,5.3,16,3,60,336,1,15,56.7,5.6,21.0,2,12.0,155.0,1011.0,6.5,9.0,26.0,241.0,9.3,1.0,181.0,1252.0,6.9,10.0,SEC,Mississippi,6-1,216.0,4.54,36.0,117.0,True,297.0
Justin Jackson,LAC,22,19.0,15,78.9%,135,0,5,47.4,7.1,1.2,10.4,13,1,50,206,2,13,50.0,4.1,15.8,0,12.75,285.5,1360.0,4.75,10.25,30.5,214.5,7.35,0.25,316.0,1574.5,4.975,10.5,Big Ten,Northwestern,6-0,199.0,4.52,38.5,122.0,True,443.0
Royce Freeman,DEN,22,20.0,14,70.0%,72,0,2,45.0,3.6,1.0,5.1,14,8,130,521,5,30,46.2,4.0,37.2,1,12.75,236.75,1405.25,5.875,15.0,19.75,203.5,10.325,1.0,256.5,1608.75,6.225,16.0,Pac-12,Oregon,5-11,229.0,4.54,34.0,118.0,True,135.0
Kalen Ballage,MIA,23,11.0,9,81.8%,56,0,2,45.5,5.1,0.8,4.7,12,0,36,191,1,10,44.4,5.3,15.9,1,11.666666666666666,136.0,619.3333333333334,4.6000000000000005,8.0,25.333333333333332,206.66666666666666,6.766666666666666,0.3333333333333333,161.33333333333334,826.0,5.133333333333334,8.333333333333334,Pac-12,Arizona State,6-1,228.0,4.46,33.5,122.0,True,227.0
Rashaad Penny,SEA,22,12.0,9,75.0%,75,0,3,25.0,6.3,0.6,5.4,14,0,85,419,2,18,38.8,4.9,29.9,0,13.5,212.5,1633.0,7.65,17.0,17.0,179.5,11.0,2.5,229.5,1812.5,7.949999999999999,19.5,MWC,San Diego State,5-11,220.0,4.46,32.5,120.0,True,27.0
Josh Adams,PHI,22,13.0,7,53.8%,58,0,3,38.5,4.5,0.5,4.1,14,5,120,511,3,23,46.7,4.3,36.5,1,12.142857142857142,146.57142857142858,772.8571428571429,5.128571428571428,6.0,18.0,135.28571428571428,7.685714285714285,0.42857142857142855,164.57142857142858,908.1428571428571,5.471428571428571,6.428571428571429,Ind,Notre Dame,6-2,213.0,4.54,34.5,34.5,False,225.0
Sony Michel,NWE,23,11.0,7,63.6%,50,0,3,45.5,4.5,0.5,3.8,13,8,209,931,6,54,51.2,4.5,71.6,1,13.0,175.66666666666666,1076.0,6.233333333333333,9.333333333333334,19.0,171.66666666666666,9.299999999999999,1.6666666666666667,194.66666666666666,1247.6666666666667,6.5,11.0,SEC,Georgia,5-11,214.0,4.54,34.5,34.5,True,31.0
Mark Walton,CIN,21,8.0,5,62.5%,41,0,1,12.5,5.1,0.4,2.9,14,0,14,34,0,5,35.7,2.4,2.4,0,13.0,169.0,783.5,4.4,11.5,24.5,266.5,11.100000000000001,1.0,193.5,1050.0,5.35,12.5,ACC,Miami (FL),5-10,202.0,4.6,31.5,118.0,True,208.0
Darrel Williams,KAN,23,3.0,3,100.0%,27,1,1,66.7,9.0,0.5,4.5,6,0,13,44,0,3,53.8,3.4,7.3,0,13.0,145.0,820.0,5.7,9.0,23.0,331.0,14.4,0.0,168.0,1151.0,6.9,9.0,SEC,LSU,6-0,225.0,4.72,32.0,109.0,False,225.0
John Kelly,LAR,22,3.0,2,66.7%,27,0,1,66.7,9.0,0.5,6.8,4,0,27,74,0,6,40.7,2.7,18.5,0,11.5,143.5,704.0,5.25,7.0,21.5,175.0,8.3,0.0,165.0,879.0,5.65,7.0,SEC,Tennessee,5-10,216.0,4.54,35.0,120.0,True,336.0
